,Book Name,Book Price
0,Soumission,£50.10
1,Private Paris (Private #10),£47.61
2,"We Love You, Charlie Freeman",£50.27
3,Thirst,£17.27
4,The Murder That Never Was (Forensic Instincts #5),£54.11
5,Tuesday Nights in 1980,£21.04
6,The Vacationers,£42.15
7,The Regional Office Is Under Attack!,£51.36
8,Finders Keepers (Bill Hodges Trilogy #2),£53.53
9,The Time Keeper,£27.88
10,The Testament of Mary,£52.67
11,The First Hostage (J.B. Collins #2),£25.85
12,Take Me with You,£45.21
13,Still Life with Bread Crumbs,£26.41
14,Shtum,£55.84
15,My Name Is Lucy Barton,£41.56
16,My Mrs. Brown,£24.48
17,Mr. Mercedes (Bill Hodges Trilogy #1),£28.90
18,I Am Pilgrim (Pilgrim #1),£10.60
19,Eligible (The Austen Project #4),£27.09
20,Eight Hundred Grapes,£14.39
21,Dear Mr. Knightley,£11.21
22,Cometh the Hour (The Clifton Chronicles #6),£25.01
23,Balloon Animals,£17.03
24,A Man Called Ove,£39.72
25,The Silent Sister (Riley MacPherson #1),£46.29
26,The Dinner Party,£56.54
27,The Improbability of Love,£59.45
28,Mothering Sunday,£13.34
29,Lies and Other Acts of Love,£45.14
30,Daredevils,£16.34
31,11/22/63,£48.48
32,The Shack,£28.03
33,The High Mountains of Portugal,£51.15
34,Miller's Valley,£58.54
35,Hystopia: A Novel,£21.96
36,The Bourne Identity (Jason Bourne #1),£42.78
37,Sister Dear,£40.20
38,Memoirs of a Geisha,£49.67
39,Me Before You (Me Before You #1),£19.02
40,Deception Point,£40.32
41,The Little Paris Bookshop,£24.73
42,The Firm,£45.56
43,The Expatriates,£44.58
44,Siddhartha,£34.22
45,Last One Home (New Beginnings #1),£59.98
46,Digital Fortress,£58.00
47,Atlas Shrugged,£26.58
48,Three-Martini Lunch,£23.21
49,The Nightingale,£26.26
50,The Infinities,£27.41
51,The Husband's Secret,£52.51
52,The Da Vinci Code (Robert Langdon #2),£22.96
53,The Art of Fielding,£22.10
54,Lila (Gilead #3),£12.47
55,Jurassic Park (Jurassic Park #1),£44.97
56,Inferno (Robert Langdon #4),£41.00
57,Crazy Rich Asians (Crazy Rich Asians #1),£49.13
58,Big Little Lies,£22.11
59,The Course of Love,£16.78
60,When I'm Gone,£51.96
61,The Silent Wife,£12.34
62,The Bette Davis Club,£30.66
63,Kitchens of the Great Midwest,£57.20
64,Bright Lines,£39.07
