,Book Name,Book Price
0,A Light in the Attic,£51.77
1,The Black Maria,£52.15
2,Shakespeare's Sonnets,£20.66
3,Olio,£23.88
4,You can't bury them all: Poems,£33.63
5,Slow States of Collapse: Poems,£57.31
6,Untitled Collection: Sabbath Poems 2014,£14.27
7,Poems That Make Grown Women Cry,£14.19
8,Night Sky with Exit Wounds,£41.05
9,salt.,£46.78
10,"Quarter Life Poetry: Poems for the Young, Broke and Hangry",£50.89
11,Out of Print: City Lights Spotlight No. 14,£53.64
12,Les Fleurs du Mal,£29.04
13,Howl and Other Poems,£40.45
14,Leave This Song Behind: Teen Poetry at Its Best,£51.17
15,The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),£15.42
16,The Crossover,£38.77
17,Booked,£17.49
18,Twenty Love Poems and a Song of Despair,£30.95
